country,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01
Belgium,26495,37520,44795,49120,52300,55405,57580,56545,61475,63210,62520,63610,64550,65420,66450,67655,68680,70065,71350,72670,73705,74600,75760
Bulgaria,30695,92405,112355,119305,125795,130290,134790,142050,144890,147385,149790,151590,153545,155000,157645,160690,162980,164880,166535,168300,169845,170970,172275
Czechia,250225,314935,352870,373150,388035,398440,408550,419760,424955,432415,440870,447830,325245,331850,340090,349140,357540,365085,357960,364450,369330,373035,381190
Denmark,1220,10430,20710,25245,26425,27930,29770,29835,30680,32155,32915,33865,34830,34920,35340,35640,35945,36880,37440,35740,36065,36265,0
Germany,0,0,0,0,0,699870,813725,873860,931545,967715,1004965,1034630,1067755,1090235,1111590,1133420,1153865,1175695,1194900,1215365,1235960,1251245,1270150
Estonia,13810,22295,25865,28015,29730,32045,34025,36000,37455,38385,39085,39815,37020,35135,35105,35215,35425,35780,35820,35855,35885,35945,35720
Ireland,13115,25210,33185,40100,45830,49815,54660,60700,64800,69370,72010,75065,78230,80080,82755,85790,89090,91210,94085,97315,99415,101490,102800
Greece,0,8880,14765,16750,18050,19080,19780,20415,21025,21530,21985,22280,22705,23310,23645,24580,25335,25735,26095,26435,26675,26850,27100
Spain,32980,83060,115775,127235,133690,139970,145825,150980,156300,160995,165415,168970,172660,175185,178035,180235,182615,184830,187205,189945,192665,194920,197750
France,27525,51255,59690,64815,68570,72180,67515,65910,67035,68430,69645,69890,67745,66760,66590,67280,67350,66930,64775,65300,65175,64930,0
Croatia,4650,10355,13000,14755,16045,16810,17475,17900,18410,18970,19390,19925,19915,20400,21025,21635,22005,22325,22485,22700,22900,23040,0
Italy,0,17270,54145,80265,99485,116065,127970,136095,143195,145800,146520,148060,155490,156065,158330,160110,160435,159885,161220,161660,161500,161375,0
Cyprus,670,3435,6640,8805,9620,10290,11070,11630,12250,12610,13560,14610,15275,15980,16710,17055,17275,17915,18360,18635,19080,19270,0
Latvia,11165,19805,24510,27290,28910,30270,31830,33080,35005,35865,36235,36745,35985,39685,42245,44260,42500,42840,43035,43330,43565,43815,44135
Lithuania,3160,28185,45430,49210,52880,56910,59800,62385,64280,65425,66455,66960,67775,68735,69875,70650,71395,72225,72810,73715,74450,74955,75350
Luxembourg,950,2650,3725,4040,4205,4260,4380,4470,4535,4655,4685,4665,4065,4065,4075,4085,4105,4190,4180,4190,4175,4230,4220
Hungary,0,0,14085,20985,23730,25470,26440,27605,28585,28905,29555,29975,30585,30960,31480,31855,32260,32750,33060,33325,33720,33880,34250
Malta,190,585,995,1175,1240,1300,1370,1435,1465,1515,1570,1625,1665,1715,1755,1770,1825,1850,1885,1935,1955,1965,1985
Netherlands,25430,53785,66735,76265,83985,91295,96215,101690,106355,109640,113205,116125,118695,120690,122950,125790,129305,131940,135625,139630,143615,145620,147920
Austria,0,0,0,0,74770,77910,80755,83355,85445,87570,88690,85655,71515,72900,74220,75775,77065,78345,79790,81295,82610,83405,83560
Poland,677110,1049510,1145665,1205785,1262080,1330075,1370625,1016685,944360,961340,974060,993755,999735,995035,991375,977740,971080,960550,958655,960620,955110,954795,951560
Portugal,25040,34080,39320,45485,48215,50605,52180,53720,55020,55920,56925,57865,57895,55375,54905,55425,56035,56710,57230,57975,58360,58820,0
Romania,2030,13040,33670,44135,51425,61095,70700,78965,89710,100955,109845,117395,124035,127355,131180,133545,135485,137850,140585,142340,144295,145850,0
Slovenia,860,3850,5235,5715,6230,6655,6985,7170,7420,7675,7885,8030,8210,8365,8505,8620,8750,8870,8465,8625,8710,8765,0
Slovakia,0,72035,77005,80470,83520,86965,89930,92275,93905,95550,96610,97980,99525,100660,102050,103960,105690,107630,109530,111615,113110,114225,116005
Finland,2805,15110,22715,28360,32660,36060,38745,41415,43395,45215,46810,48905,51030,52145,53875,56145,58765,60100,61165,62515,63485,64185,64950
Sweden,18160,30025,34635,36785,39305,41555,43035,44485,46045,46295,47310,48355,24720,33360,36930,39190,40250,41175,41915,42530,43125,43705,44390
Iceland,260,825,1050,1240,1375,1515,1710,1935,2110,2315,2485,2635,2775,2870,2995,3085,3230,3325,3470,3615,3760,3875,3975
Liechtenstein,55,175,195,235,250,270,295,330,340,385,410,435,445,450,455,480,515,520,530,540,565,570,0
Norway,2245,9020,14625,17585,18860,23055,26390,29080,31200,33540,35705,38620,41530,43385,45235,47200,49785,52605,56455,60980,65160,66940,68145
Switzerland,15095,38130,51620,55945,57265,58790,59970,60585,61535,62800,63945,65110,65730,65615,65475,65170,64895,65385,65725,66125,66110,0,0
